location,val,average
United Kingdom,940.3059,940.3059
Bulgaria,499.40173,920.7257
Slovakia,936.529,920.7257
Czechia,960.319,920.7257
Austria,1003.2503,920.7257
Hungary,1004.5221,920.7257
Poland,1006.39545,920.7257
Romania,1034.6626,920.7257
Malta,326.5768,773.0333
Cyprus,441.30902,773.0333
Spain,630.44226,773.0333
Portugal,830.9385,773.0333
Slovenia,972.8505,773.0333
Greece,981.0103,773.0333
Italy,995.83704,773.0333
Croatia,1005.30225,773.0333
Denmark,778.94446,1051.5028
Lithuania,821.2196,1051.5028
Sweden,823.4184,1051.5028
Estonia,1280.7449,1051.5028
Finland,1293.9237,1051.5028
Latvia,1310.7654,1051.5028
Netherlands,710.94666,970.0583
Ireland,850.3227,970.0583
Germany,955.004,970.0583
France,1011.35657,970.0583
Luxembourg,1109.9717,970.0583
Belgium,1182.748,970.0583
