location,average
United Kingdom,940.3059
Austria,920.7257
Bulgaria,920.7257
Czechia,920.7257
Hungary,920.7257
Poland,920.7257
Romania,920.7257
Slovakia,920.7257
Croatia,773.0333
Cyprus,773.0333
Greece,773.0333
Italy,773.0333
Malta,773.0333
Portugal,773.0333
Slovenia,773.0333
Spain,773.0333
Denmark,1051.5028
Estonia,1051.5028
Finland,1051.5028
Latvia,1051.5028
Lithuania,1051.5028
Sweden,1051.5028
Belgium,970.0583
France,970.0583
Germany,970.0583
Ireland,970.0583
Luxembourg,970.0583
Netherlands,970.0583
