location,Domestic_Hot_Water,Space_Cooling,Space_Heating
United Kingdom,189.90065,22.749813,727.6554
Austria,138.85619,30.973728,833.4203
Bulgaria,40.00172,34.57577,424.82422
Czechia,124.91364,26.552002,808.8533
Hungary,198.69794,53.402954,752.4211
Poland,183.95467,20.697842,801.74286
Romania,188.01614,26.761396,819.88513
Slovakia,180.8621,37.264786,718.4021
Croatia,157.24847,108.38579,739.66797
Cyprus,94.49899,58.237885,288.57205
Greece,150.12549,173.72426,657.159
Italy,125.16801,227.21405,643.4549
Malta,55.98115,130.31387,140.28177
Portugal,130.42738,70.34085,630.1703
Slovenia,199.06773,67.77263,706.0102
Spain,140.10449,71.12294,419.21487
Denmark,117.05401,25.290665,636.59985
Estonia,319.92102,66.9753,893.8485
Finland,283.63837,58.780113,951.50525
Latvia,291.7793,68.26903,950.7171
Lithuania,105.758194,10.148508,705.31287
Sweden,110.60636,43.75248,669.0596
Belgium,161.07933,55.732834,965.9358
France,99.78767,107.033844,804.5351
Germany,128.92422,61.137806,764.94196
Ireland,149.81525,17.651936,682.8554
Luxembourg,137.3351,50.346436,922.2902
Netherlands,130.29387,43.997345,536.6554
