"location","Final_energy"
"Austria","75.578026"
"Belgium","68.957726"
"Bulgaria","30.854986"
"Croatia","54.919132"
"Cyprus","41.39815"
"Czechia","65.792114"
"Denmark","75.25935"
"Estonia","71.8081"
"Finland","102.04997"
"France","59.31516"
"Germany","69.55392"
"Greece","38.3811"
"Hungary","58.088722"
"Ireland","58.75473"
"Italy","52.848152"
"Latvia","61.876392"
"Lithuania","51.792473"
"Luxembourg","75.1374"
"Malta","20.495016"
"Netherlands","53.858242"
"Poland","47.919636"
"Portugal","28.13521"
"Romania","39.935616"
"Slovakia","48.49923"
"Slovenia","50.81642"
"Spain","31.399742"
"Sweden","71.982216"
"United Kingdom","57.219257"
